"id","little_id","original_melody","in_key","contour_dif","change_note","displacement","file_name","oddity","length_crotchets","length_level","num_notes","item_index","discrimination","difficulty","guessing","inattention"
"1","1","1-bar-mel-105","TRUE","4","3","4","1-1-bar-mel-105-in_key-TRUE-contour_dif-4-change-3-displacement-4-oddity-1","1","3","1","6","3","1.31012081953486","-0.197445130953007","0.333333333333333","1"
"2","2","1-bar-mel-105","TRUE","4","3","4","2-1-bar-mel-105-in_key-TRUE-contour_dif-4-change-3-displacement-4-oddity-2","2","3","1","6","3","1.31012081953486","-0.197445130953007","0.333333333333333","1"
"3","3","1-bar-mel-105","TRUE","4","3","4","3-1-bar-mel-105-in_key-TRUE-contour_dif-4-change-3-displacement-4-oddity-3","3","3","1","6","3","1.31012081953486","-0.197445130953007","0.333333333333333","1"
"4","4","1-bar-mel-105","TRUE","0","4","2","4-1-bar-mel-105-in_key-TRUE-contour_dif-0-change-4-displacement-2-oddity-1","1","3","1","6","4","1.31012081953486","0.576648526355367","0.333333333333333","1"
"5","5","1-bar-mel-105","TRUE","0","4","2","5-1-bar-mel-105-in_key-TRUE-contour_dif-0-change-4-displacement-2-oddity-2","2","3","1","6","4","1.31012081953486","0.576648526355367","0.333333333333333","1"
"6","6","1-bar-mel-105","TRUE","0","4","2","6-1-bar-mel-105-in_key-TRUE-contour_dif-0-change-4-displacement-2-oddity-3","3","3","1","6","4","1.31012081953486","0.576648526355367","0.333333333333333","1"
"7","7","1-bar-mel-105","FALSE","4","3","3","7-1-bar-mel-105-in_key-FALSE-contour_dif-4-change-3-displacement-3-oddity-1","1","3","1","6","1","1.31012081953486","-0.727810060079173","0.333333333333333","1"
"8","8","1-bar-mel-105","FALSE","4","3","3","8-1-bar-mel-105-in_key-FALSE-contour_dif-4-change-3-displacement-3-oddity-2","2","3","1","6","1","1.31012081953486","-0.727810060079173","0.333333333333333","1"
"9","9","1-bar-mel-105","FALSE","4","3","3","9-1-bar-mel-105-in_key-FALSE-contour_dif-4-change-3-displacement-3-oddity-3","3","3","1","6","1","1.31012081953486","-0.727810060079173","0.333333333333333","1"
"10","10","1-bar-mel-105","FALSE","0","3","1","10-1-bar-mel-105-in_key-FALSE-contour_dif-0-change-3-displacement-1-oddity-1","1","3","1","6","2","1.31012081953486","0.0209743769125695","0.333333333333333","1"
"11","11","1-bar-mel-105","FALSE","0","3","1","11-1-bar-mel-105-in_key-FALSE-contour_dif-0-change-3-displacement-1-oddity-2","2","3","1","6","2","1.31012081953486","0.0209743769125695","0.333333333333333","1"
"12","12","1-bar-mel-105","FALSE","0","3","1","12-1-bar-mel-105-in_key-FALSE-contour_dif-0-change-3-displacement-1-oddity-3","3","3","1","6","2","1.31012081953486","0.0209743769125695","0.333333333333333","1"
"13","13","1-bar-mel-151","TRUE","4","4","5","13-1-bar-mel-151-in_key-TRUE-contour_dif-4-change-4-displacement-5-oddity-1","1","3","1","6","3","1.31012081953486","-0.197445130953007","0.333333333333333","1"
"14","14","1-bar-mel-151","TRUE","4","4","5","14-1-bar-mel-151-in_key-TRUE-contour_dif-4-change-4-displacement-5-oddity-2","2","3","1","6","3","1.31012081953486","-0.197445130953007","0.333333333333333","1"
"15","15","1-bar-mel-151","TRUE","4","4","5","15-1-bar-mel-151-in_key-TRUE-contour_dif-4-change-4-displacement-5-oddity-3","3","3","1","6","3","1.31012081953486","-0.197445130953007","0.333333333333333","1"
"16","16","1-bar-mel-151","TRUE","0","3","2","16-1-bar-mel-151-in_key-TRUE-contour_dif-0-change-3-displacement-2-oddity-1","1","3","1","6","4","1.31012081953486","0.576648526355367","0.333333333333333","1"
"17","17","1-bar-mel-151","TRUE","0","3","2","17-1-bar-mel-151-in_key-TRUE-contour_dif-0-change-3-displacement-2-oddity-2","2","3","1","6","4","1.31012081953486","0.576648526355367","0.333333333333333","1"
